Name                    ;stat 1       ;amount 1 ;stat 2       ;amount 2 ;mutual exclusive ;description
Action Boy/Girl         ;             ;         ;             ;         ;                 ;When you spend AP to take an additional major action, you do not suffer the increased skill test difficulty during your second action.
Adamantium Skeleton     ;Endurance    ;       7 ;             ;         ;                 ;When you suffer damage, the amount of damage needed to inflict a critical hit on you increases by your rank in this perk. For example, if you have one rank in this perk, you suffer a critical hit from 6 or more damage, rather than 5 or more.
Adrenalin Rush          ;Strength     ;       7 ;             ;         ;                 ;When your health is below its maximum value, you count your STR score as 10 for all purposes when attempting a STR-based skill test or melee attack.
Animal Friend           ;Charisma     ;       6 ;             ;         ;                 ;At rank 1, whenever a creature NPC with the Mammal, Lizard, or Insect keyword would attack you, roll 1 DC: on any result other than an Effect, the creature chooses not to attack you, although it may still attack another character it can target. At rank 2, you can attempt a CHA + Survival test with a difficulty of 2 as a major action. If you succeed, the animal treats you as friendly and will attack anyone who attacks you. Mighty and Legendary animals are unaffected by this perk.
Aquaboy/Aquagirl        ;Endurance    ;       5 ;             ;         ;                 ;Water is your ally. At rank 1, you no longer take radiation damage from swimming in irradiated water, and you can hold your breath for twice as long as normal. At rank 2, enemies add +2 to the difficulty to tests to detect you while you are submerged underwater.
Armorer                 ;Strength     ;       5 ;Intelligence ;       6 ;                 ;You can modify armor with armor mods. Each rank in this perk unlocks an additional rank of mods: rank 1 unlocks rank 1 mods, rank 2 unlocks rank 2 mods, etc.
Awareness               ;Perception   ;       7 ;             ;         ;                 ;When you take the Aim minor action at a target within Close range, you spot their weaknesses and can attack more efficiently. The next attack you make against that target gains the Piercing 1 damage effect, or improves the rating of any existing Piercing X damage effect by 1.
Basher                  ;Strength     ;       6 ;             ;         ;                 ;When you make a melee attack by bashing with your gun, your attack gains the Vicious damage effect.
Better Criticals        ;Luck         ;       9 ;             ;         ;                 ;When you inflict one or more points of damage to an enemy, you may spend 1 Luck Point to automatically inflict a critical hit, causing an injury.
Big Leagues             ;Strength     ;       8 ;             ;         ;                 ;When you make a melee attack with a two-handed melee weapon, the weapon gains the Vicious damage effect.
Black Widow/Lady Killer ;Charisma     ;       6 ;             ;         ;                 ;The Black Widow perk affects men and masculine characters, while the Lady Killer perk affects women and feminine characters—they are otherwise identical. When you attempt a CHA based skill test to influence a character of the chosen gender, you may re-roll 1d20. In addition, your attacks inflict +1 DC additional against characters of the chosen gender.
Blitz                   ;Agility      ;       9 ;             ;         ;                 ;When you move into reach of an opponent and make a melee attack against them in one turn, you may re-roll one d20 on your attack. At rank 2, you also inflict +1 DC with that attack.
Bloody Mess             ;Luck         ;       6 ;             ;         ;                 ;"When you inflict a critical hit, roll 1 DC; if you roll an Effect, you inflict one additional injury to a random location."
Can Do!                 ;Luck         ;       5 ;             ;         ;                 ;When you are scavenging a location that contains food, you gain 1 additional random food item, without spending AP.
